@RELATION 	Feature11

@ATTRIBUTE 	Text	string
@ATTRIBUTE 	Class 	{Positive, Negative, Neutral}

@DATA
"באמת שביחס למכשירים אחרים הוא לא משהו כי הוא קטן מדי וכבד קצת וגם איטי אבל ביחס לגודל ולמחיר הקטן זה מה שאתה צריך לצפות ממנו",Negative
"מאוד מאוד איטי צריך לחכות המון זמן לכל פעולה גם אחרי התקנה נקיה",Negative
"כל היתרונות לא שווים כלום בגלל האיטיות הנוראית",Negative
"קניתי את המכשיר לפני כחצי שנה המכשיר ניהיה יותר ויותר גרוע משקונים אותו לאט לאט הוא יותר איטי",Negative
"אתמול קניתי מכשיר ומרגע שהתחלתי להשתמש בו הוא נתקע כמה פעמים נעלצתי פעמים רבות להציא סוללה ולהפעיל מחדש את המכשיר",Negative
"עם הזמן הוא נהיה כבד יותר ויותר עד כדי כך שלדוגמא אני מזין משפט במנוע החיפוש אני יכול לרשום את כל המשפט ולראות רק את התו שניים הראשונים",Negative
"אחרי מספר חודשים המכשיר מתחיל להיות איטי בצורה מחרידה ולקרטע",Negative
"הטלפון חלק מאוד בחודש הראשון ואז הוא פשוט צב",Negative
"הוא נהיה איטי מאוד עם הזמן ולוקח לו כל פעולה להגיב הרבה זמן",Negative
"המעבד שלו היה אמור לספק לי את הדרוש לי אבל בעקבות זיכרון הram המועט שלו איני יכול לעשות זאת",Negative
"הפלאפון נהיה איטי מאוד עם הזמן",Negative
"בהתחלה כשקניתי אותו הוא היה ממש מהיר והיום לוקח לו כמה שניות להגיב כשאני מנסה לפתוח את המסך ולפעמים הוא נתקע בעיקר בריבוי פעולות",Negative
"בנוסף לפלאפון יש הרבה מאוד פונקציות חדשניות הבעיה בזה היא שרובן לא שימושיות כמעט ואפילו מיותרות וגורמות לעומס מיותר על הפלאפון ואפילו לבלבול אצל אנשים שלא מבינים יותר מידי בטכנולוגיה",Negative
"תקוע מאוד ולא נוח לשימוש",Negative
"טלפון שלא עומד בהרבה דברים בו זמנית כלומר ניתן להשתמש בו בהגבלה רבה מאוד וזה חסרון גדול מאוד",Negative
"המכשיר ברשותי מזה כחצי שנה אציין כי השתדרגתי מגלקסי 3 שנעשה עם הזמן והעדכון האחרון 4 3 איטי להחריד",Negative
"איטי ביותר נתקע הרבה מכשיר חלש יקר מאוד מומלץ לחכות לפלאפון הבא שיצא שירד לו הערך",Negative
"אם לא מבטלים את כל הפיצ רים של ה ללא מגע המכשיר לא ממש זז",Negative
"המכשיר מתחמם בצורה קיצונית",Negative
"נתקע מדי פעם מתנתק כבה מעצמו איטי מעבר בין מצלמה קדמית לאחורית איטי להחריד",Negative
"המכשיר דורש איתחול כל חצי שנה מכיוון שהוא נתקע",Negative
"ב נתקע הרבה ועם זיכרון פנימי קטן שנגמר ממש מהר בגלל כל התוכנות המעצבנות שסמסונג דחפו למכשיר",Negative
"כבר בחודשים הראשונים התגלו תקלות שונות ומשונות וזאת למרות שאיני מעמיס עליו יישומים רבים",Negative
"4 שניות להעלאת אנשי קשר",Negative
"תוכנות נוספות שלוקח להם יותר מדי זמן להגיב בדומה לאנשי קשר",Negative
"המכשיר ניהיה אחרי חודש איטי בצורה מחרידה שגם להכנס לספר טלפונים לוקח זמן",Negative
"נתקע המון",Negative
"כמעט ולא מרגישים בנוכחות מעבד כפול ליבה בעיקר בסירי לפעמים היא חושבת הרבה",Negative
"אומנם מהירות המעבד לא משהו כי כבר יש יותר מהירים אבל בכול זאת המכשיר משמח",Negative
"אפליקצית הטלפון עולה הרבה זמן ולאדם המוציא כ 50 שיחות ביום זה ממש מציק",Negative
"המכשיר ואופן השירות המאוד לקוי של החברה די מחייבים שאתריע על המכשיר אשר במשך הארבעה חודשים שבשימושי נכנס למעבדת החברה פעמיים יש לציין שהמכשיר נתקע לעיתים קרובות וכאשר מתקשרים לא שומעים אותי בצד השני בלי שום התראה המכשיר כבה המכשיר נשלח לחברה ופעמיים החזירו אותו בטענה שהכל תקין",Negative
"המעבר לחלק מהטפריטים איטי מאוד במיוחד השימושיים כמו חייגן ו sms הסוללה מתרוקנת מהר",Negative
"כמובן כמו מרבית הניידים גם הוא סובל מהתחממות תקיעות וסוללה שלא שורדת לאורך זמן",Negative
"קניתי את הפלאפון לפני כשנה ואני מאוד לא מרוצה המעבד חלש שטח איחסון קטן מצלמה גרועה לא נותן להוריד משחקים כבדים וכו וכו וכו",Negative
"המעבד קצת חלש ולא מריץ משחקים כבדים",Negative
"המכשיר מאכזב נורא נתקע הרבה מעבד חלש אין מספיק זיכרון פיני",Negative
"המכשיר נתקע באופן קבוע איטי נורא שטח אחסון קטן שלא מאפשר להוריד אפליקציות וגם אם מורידים אפליקציות הן פועלות גרוע",Negative
"מכשיר איטי ונורא גדול ולא נוח",Negative
"נתקע לא מעט פעמים המכשיר נורא איטי",Negative
"איטי מעבר לכול דימיון סוללה חלשה במיוחד",Negative
"איטי מאוד המון באגים מסך המגע מגיב בקושי רב ונורא איטי",Negative
"איטי נורא פותח ל אפליקציה באיטיות לעיתים נתקע ולא מגיב",Negative
"המכשיר מגיב נורא לאט והתפריט שלו ממש לא נוח",Negative
"מצלמה טובה סה כ אך עם ביצועים פחות טובים מהמתחרים בעיקר בתנאי לילה וכד",Negative
"המסך לא מגיב תמיד ללחיצות",Negative
"המכשיר קצת איטי לפעמים",Negative
"מתחמם סוללה נגמרת מהר נתקע כל 5 דקות המכשיר נפתח נסגר לשתי דקות ושוב נפתח התקלות חוזרות ונישנות",Negative
"איטי מאוד כל מעבר בין מסכים לוקח מספר שניות",Negative
"כמו כן עם השנים נהיה אטי יותר",Negative
"לפעמים מגיב באיטיות",Negative
"המכשיר מתחמם קצת יותר מאחרים גם בטעינה בגלל שהוא מאלומניום",Negative
"תיקנתי אותו ואחרי חמישה חודשים הבטריה נהרסה הרמקול נהרס התחיל להתקע ולא נטען בהרבה מטענים",Negative
"הסוללה נהרסת מתחיל להיתקע gps נהרס",Negative
"לא כל כך עומד בעומסים עובד כמו גלקסי 3 רגיל אחרי שנתיים של פעילות",Negative
"גם העלאת sms קיימים לוקחת המון זמן",Negative
"המכשיר נהייה כבד חושב המון איטי ועם לאגים מעצבנים",Negative
"אחותי קנתה תמכשיר מחברת פלאפון ואחרי 5 חודשים המכשיר נהיה איטי ולא מותקנת עליו הרבה תוכנות",Negative
"גם אחרי שאיפסתי תמכשיר למצבו המקורי הוא נשאר איטי לדוגמא המוזיקה נתקעת לפעמים או כשלוחצים על כפתור הבית או ההדלקה שהצג ידלק",Negative
"לוקח למסך להידלק כשנייה וחצי עד שתי שניות",Negative
"הממשק קצת השתפר מהגירסה הקודמת יותר זורם ופשוט פחות נתקע אבל שוב זה לא htc או נקסוס שזורם ועובד כמו שאמור לעבוד עם המעבד החזק הזה",Negative
"המסך פשוט החליט להיתקע",Negative
"וכך זה המשיך לסירוגין פתאום עובד טוב ופתאום מחליט להיתקע",Negative
"איכות מעולה עושה עבודה טובה לפעמים נתקע עשה בהתחלה רושם של מכשיר פצצה אבל תמיד יש חסרונות וזה ידוע",Negative
"מעט פחות מהיר מסוסי המירוץ שעולים כפול ממנו ואף יותר",Negative
"טלפון שביר אך זול מכשיר גדול אך מתחמם",Negative
"סה כ לא היו לי הרבה בעיות איתו רק שכאשר עונים לשיחה ורוצים להפעיל רמקול המסך מדי פעם נתקע לי ולא היה אפשר לנתק שיחה",Negative
"זה היה מאוד לא נוח ומעצבן כי לפעמים הוא היה נתקע והייתי חייבת לכבות אותו ולהדליק שוב כדי להמשיך להשתמש",Negative
"בכללי מכשיר מיושן מאוד איטי במחיר ממש ממש מופקע",Negative
"המכשיר לא כזה טוב הוא נורא איטי קטן מידי יחסית לסמארטפונים של היום",Negative
"מתחמם לפעמים ויש כמה תקיעות לעיתים רחוקות",Negative
"קיימת בעייה נוראית של איטיות מהרגע שלוחצים על מצלמה ועד שהיא מוכנה לצלם איטיות בפתיחת גלריה אטיות בפתיחת אפליקציות שאינן בקש לא ניפתחו עוד אטיות בפתיחת אנשי קשר בפעם ראשונה או אחרי הרבה זמן שלא ניפתחו אטיות בפתיחת חייגן",Negative
"מכשיר בעייתי לא מהיר כצפוי ממכשיר ב 3600 ש ח",Negative
"אחרי טעינה מסך שחור לא מגיב ולא זז",Negative
"כמו כן כאשר אני מקבל שיחת טלפון לפעמים המסך חשוך מספר שניות עד שאני בכלל רואה מי המתקשר ואיני יכול להגיב ולענות לשיחה",Negative
"מתחמם קצת הסמארטפון הטוב ביותר",Negative
"המכשיר נוח ואמין אך לא נותן הרבה למשתמש המסך קטן ולא נוח למשחקים איטי יחסית למשימות מרובות האפליקציות החינמיות מגיעות רק בפריצת המכשיר אך הדבר גורם לאיטיות המכשיר",Negative
"לא עובד חלק כמו nexus 5 או lg g2 שוב בגלל ההתערבות של samsung במערכת ההפעלה",Negative
"מידי פעם נתקע כי samsung מומחים להפוך מוצר טוב לבעייתי עם ה touchwiz הכבד שלהם ועם מגוון תוכנות לא חשובות",Negative
"המסך מאוד קטן המכשיר איטי וממש לא נוח ליראות סרטים או לשחק איתו",Negative
"גם די גדול אבל מתחמם מהר ושביר לא כ כ עמיד",Negative
"לא מבין מה ההתלהבות סביב המכשיר יש לו ממשק ממש מעצבן והוא איטי מאוד ביחס למכשירים באותה קטגורייה",Negative
"יש מכשירים שעולים פחות כסף ונותנים ביצועים דומים או אף יותר טובים",Negative
"המכשיר לפעמים נתקע עם אתה מפעיל כמה אפליקציות או משחק כבד",Negative
"הבעיה היחידה לדעתי היא שהכשיר מתחמם יותר מדי וגומר את הסוללה מהר בזמן שימוש ולו הקל ביותר כמו שמיעת מוזיקה",Negative
"קניתי את המכשיר לפני שנה ועד לפני חודש הייתי מרוצה מאוד ועכשיו הוא מתחיל קצת להתקע",Negative
"יחד עם זאת המכשיר היה נתקע מידי פעם ועדכון גרסה לא היה נראה באופק הגיע על 4 1 2 מהחנות אז החלטנו לבצע את ההמרה לגרסת המפתחים גוגל אדישן ומאז המכשיר מקבל עדכונים קיבל עדכון ל 4 3",Negative
"פלאפון סביר ביותר מגיע עם מעבד של 1gb ליבה כפולה",Neutral
"אני כנראה לא השתמשתי מספיק בטלפונים אחרים כדי להשוות את המהירות",Neutral
"768mb ram",Neutral
"מעבד 1ghz",Neutral
"למוצר זכרון נדיף של 2gb ram",Neutral
"כמו גם המהירות",Neutral
"המעבד לא מהיר יחסית עושה את העבודה אבל",Neutral
"גלישה קצת איטית כי יש מעבד אחד אבל סביר בהחלט",Neutral
"מריץ גם משחקים בצורה חלקה אבל מי שרוצה לשחק במשקים הכי כבדים ברזולוציה הכי גבוהה עלול להזדקק לסמארטפון יותר חזק זה סמארטפון חזק לשוק הביניים ולהרצת משחקים כבדים אולי כדאי להסתכל על סמארטפונים מהשוק הגבוה",Neutral
"חיפשתי מכשיר לא יקר ומסך לא גדול ועם ביצועים סבירים",Neutral
"המעבד סביר",Neutral
"לא הכי משתלם לקחת את גרסת ה32gb הזיכרון ניתן להרחבה והבדלי הביצועים בין 2 ל3 ג יגה ram עומדים על 3 5 אחוזים בלבד מה שלא מצדיק את הבדלי המחירים",Neutral
"הוא לפעמים קצת נתקע ועושה בעיות אבל רוב הזמן הוא בסדר",Neutral
"זיכרון 16 ג יגה בייט נוח מאוד לשימוש ועיצוב יפה מאוד",Neutral
"מצלמה לא השתפרה מי יודע מה אותה מהירות",Neutral
"אה והלייזר פוקוס אני לא שמתי לב למהירות המטורפת בו למרות שכן הוא מהיר אך לא מהיר כמו שאני ציפיתי",Neutral
"שימו לב קיים דגם עם 2 ג יגה ראם ו3 גי גה ראם",Neutral
